City,Country,Date,Latitude,Longitude,Humidity,Pressure,Max_Temp,Cloudiness,Wind_Speed
Vila Velha,BR,2020-06-16 17:35:28,-20.33,-40.29,78,1024,75.2,75,5.7
Castelo do Piauí,BR,2020-06-16 17:35:28,-5.32,-41.55,48,1012,88.7,30,3.44
Butaritari,KI,2020-06-16 17:35:28,3.07,172.79,80,1008,82.96,28,6.52
Leh,IN,2020-06-16 17:35:28,34.17,77.58,35,1016,56.19,2,2.06
Port Blair,IN,2020-06-16 17:24:14,11.67,92.75,81,1009,83.34,100,7.04
Yumen,CN,2020-06-16 17:35:28,40.28,97.2,24,1008,69.51,0,2.39
Asău,RO,2020-06-16 17:35:29,46.43,26.4,93,1009,66.2,40,1.0
Cooma,AU,2020-06-16 17:30:31,-36.23,149.13,100,1027,30.2,90,1.5
Killybegs,IE,2020-06-16 17:35:29,54.63,-8.45,86,1016,57.2,90,4.6
Cabo San Lucas,MX,2020-06-16 17:34:09,22.89,-109.91,45,1014,89.01,20,3.1
Mount Gambier,AU,2020-06-16 17:30:38,-37.83,140.77,100,1029,42.8,40,2.1
Cape Town,ZA,2020-06-16 17:31:06,-33.93,18.42,71,1029,57.2,0,1.0
Hofn,IS,2020-06-16 17:35:29,64.25,-15.21,68,1016,50.97,68,2.24
Arraial do Cabo,BR,2020-06-16 17:35:30,-22.97,-42.03,64,1026,75.2,40,3.6
Pāsighāt,IN,2020-06-16 17:25:32,28.07,95.33,86,1007,77.38,100,1.47
Turukhansk,RU,2020-06-16 17:35:30,65.82,87.98,89,1002,43.72,69,2.95
Otavi,NA,2020-06-16 17:35:30,-19.65,17.33,33,1021,60.08,0,5.19
Tasiilaq,GL,2020-06-16 17:35:30,65.61,-37.64,86,1013,37.4,75,8.2
Biltine,TD,2020-06-16 17:35:31,14.53,20.92,27,1006,91.44,64,3.94
Los Llanos de Aridane,ES,2020-06-16 17:35:31,28.66,-17.92,88,1023,75.2,75,1.5
Bhandāra,IN,2020-06-16 17:35:31,21.17,79.65,83,1002,78.8,75,3.6
Atuona,PF,2020-06-16 17:35:31,-9.8,-139.03,76,1014,80.64,2,9.16
Krasnyy Chikoy,RU,2020-06-16 17:35:31,50.36,108.75,89,1007,57.54,100,1.27
Zaritap,AM,2020-06-16 17:35:31,39.64,45.51,31,1008,78.8,75,3.1
Avanigadda,IN,2020-06-16 17:35:32,16.02,80.92,66,1003,86.77,99,4.77
East London,ZA,2020-06-16 17:35:32,-33.02,27.91,66,1035,62.56,19,4.45
Mar del Plata,AR,2020-06-16 17:35:32,-38.0,-57.56,93,1015,62.01,90,3.1
Sobolevo,RU,2020-06-16 17:35:32,54.43,31.9,88,1015,70.99,14,2.93
Husavik,IS,2020-06-16 17:35:32,66.04,-17.34,47,1015,57.2,75,5.7
Ayagoz,KZ,2020-06-16 17:35:32,47.97,80.44,65,1003,62.71,72,2.71
Lebu,CL,2020-06-16 17:35:33,-37.62,-73.65,88,1009,53.53,100,7.05
Lorengau,PG,2020-06-16 17:35:33,-2.02,147.27,74,1008,82.22,62,3.04
Fiumicino,IT,2020-06-16 17:35:33,41.77,12.23,64,1011,75.0,3,6.2
Saryagash,KZ,2020-06-16 17:35:33,41.45,69.17,23,1009,77.0,19,5.1
Yellowknife,CA,2020-06-16 17:35:33,62.46,-114.35,58,1015,59.0,40,12.3
Itoman,JP,2020-06-16 17:25:57,26.12,127.67,94,1008,82.4,40,5.1
Hobart,AU,2020-06-16 17:33:00,-42.88,147.33,52,1024,44.6,5,7.7
Chokurdakh,RU,2020-06-16 17:35:34,70.63,147.92,37,1004,73.89,20,2.82
Faridabad,IN,2020-06-16 17:35:34,28.43,77.32,44,997,95.0,40,3.1
Busselton,AU,2020-06-16 17:35:35,-33.65,115.33,61,1006,55.99,91,7.69
Ta Khmau,KH,2020-06-16 17:35:35,11.48,104.95,88,1009,82.4,40,0.5
Vanavara,RU,2020-06-16 17:35:35,60.34,102.28,89,1011,44.58,72,1.13
Pisco,PE,2020-06-16 17:35:35,-13.7,-76.22,88,1017,64.99,75,2.1
Khatanga,RU,2020-06-16 17:35:35,71.97,102.5,64,993,50.59,100,5.77
Umm Kaddadah,SD,2020-06-16 17:35:36,13.6,26.69,12,1007,98.49,60,2.76
Sfântu Gheorghe,RO,2020-06-16 17:21:50,45.87,25.78,67,973,73.0,61,0.45
Dingle,PH,2020-06-16 17:35:36,11.0,122.67,78,1009,77.63,90,1.88
Port Lincoln,AU,2020-06-16 17:35:36,-34.73,135.87,74,1030,54.18,66,1.44
Cherskiy,RU,2020-06-16 17:35:37,68.75,161.3,45,1007,68.27,51,2.31
Faanui,PF,2020-06-16 17:35:37,-16.48,-151.75,82,1013,79.52,66,5.22
Bethel,US,2020-06-16 17:35:37,41.37,-73.41,43,1029,77.0,1,3.1
Bambous Virieux,MU,2020-06-16 17:35:37,-20.34,57.76,78,1021,71.6,40,5.1
Thompson,CA,2020-06-16 17:35:38,55.74,-97.86,40,1009,73.4,75,5.7
Kuala Lipis,MY,2020-06-16 17:35:38,4.18,102.05,95,1010,74.21,99,0.39
Cap-aux-Meules,CA,2020-06-16 17:35:38,47.38,-61.86,46,1026,69.8,75,5.1
Usinsk,RU,2020-06-16 17:35:38,65.99,57.53,61,1011,43.75,83,5.3
Umluj,SA,2020-06-16 17:35:38,25.02,37.27,62,1006,81.68,0,2.73
Bredasdorp,ZA,2020-06-16 17:35:38,-34.53,20.04,93,1030,57.2,0,1.57
Aksha,RU,2020-06-16 17:35:39,50.28,113.29,84,1002,56.88,94,1.43
Sawtell,AU,2020-06-16 17:35:39,-30.38,153.1,93,1026,51.8,1,3.1
Hong Kong,HK,2020-06-16 17:31:42,22.29,114.16,74,1012,82.0,0,4.02
Tandil,AR,2020-06-16 17:26:22,-37.32,-59.13,83,999,57.99,100,0.45
Kaitangata,NZ,2020-06-16 17:35:39,-46.28,169.85,85,1013,48.27,100,1.98
Nuuk,GL,2020-06-16 17:35:40,64.18,-51.72,86,1010,37.4,75,8.7
Djenné,ML,2020-06-16 17:35:40,13.91,-4.55,18,1006,106.02,11,2.91
Vaini,TO,2020-06-16 17:35:40,-21.2,-175.2,68,1021,71.6,75,4.1
Longyearbyen,SJ,2020-06-16 17:34:28,78.22,15.64,60,1015,41.0,20,4.1
Geraldton,AU,2020-06-16 17:35:40,-28.77,114.6,34,1016,53.6,0,7.7
Barrow,US,2020-06-16 17:35:40,71.29,-156.79,74,1015,37.4,40,6.7
Te Anau,NZ,2020-06-16 17:35:41,-45.42,167.72,82,1014,50.5,62,2.97
Guerrero Negro,MX,2020-06-16 17:35:41,27.98,-114.06,61,1014,70.57,54,6.27
Broome,US,2020-06-16 17:35:41,42.25,-75.83,40,1030,77.0,1,1.72
Avarua,CK,2020-06-16 17:35:41,-21.21,-159.78,68,1018,71.6,5,3.6
Abnūb,EG,2020-06-16 17:35:41,27.27,31.15,30,1010,95.0,0,5.7
Vestmanna,FO,2020-06-16 17:35:41,62.16,-7.17,93,1017,51.8,100,5.1
Muş Province,TR,2020-06-16 17:35:42,39.0,41.75,59,1009,61.23,31,1.92
São Filipe,CV,2020-06-16 17:35:42,14.9,-24.5,78,1014,77.81,4,4.67
Seoul,KR,2020-06-16 17:32:12,37.57,126.98,93,1005,68.0,48,0.5
Cayenne,GF,2020-06-16 17:35:42,4.93,-52.33,70,1012,86.0,96,7.2
Laem Sing,TH,2020-06-16 17:35:42,12.48,102.07,82,1010,79.83,100,1.71
Esperance,AU,2020-06-16 17:35:43,-33.87,121.9,66,1020,53.6,28,7.2
Novoasbest,RU,2020-06-16 17:35:43,57.74,60.29,80,1013,59.76,49,3.36
Manggar,ID,2020-06-16 17:35:43,-2.88,108.27,86,1009,80.74,58,3.55
Coquimbo,CL,2020-06-16 17:35:43,-29.95,-71.34,71,1016,57.2,75,4.1
Poum,NC,2020-06-16 17:26:34,-20.23,164.02,74,1017,74.05,5,6.61
Nynäshamn,SE,2020-06-16 17:35:44,58.9,17.95,82,1014,62.01,40,3.7
Provideniya,RU,2020-06-16 17:35:44,64.38,-173.3,51,1010,54.32,63,0.65
Benguela,AO,2020-06-16 17:35:44,-12.58,13.41,81,1014,71.55,0,1.15
Taupo,NZ,2020-06-16 17:35:44,-38.68,176.08,91,1026,48.0,55,1.29
Cidreira,BR,2020-06-16 17:35:44,-30.18,-50.21,81,1022,65.59,1,4.99
Praia da Vitória,PT,2020-06-16 17:35:45,38.73,-27.07,60,1024,73.4,20,3.67
Shorāpur,IN,2020-06-16 17:35:45,16.52,76.75,80,1005,77.49,100,5.65
Coruripe,BR,2020-06-16 17:35:45,-10.13,-36.18,72,1017,80.08,12,5.23
Flinders,AU,2020-06-16 17:35:45,-34.58,150.86,71,1021,55.0,5,0.45
Tiko,CM,2020-06-16 17:35:46,4.07,9.37,74,1009,86.0,40,2.1
Jishu,CN,2020-06-16 17:35:46,44.32,126.8,71,1001,61.07,17,2.8
Izačić,BA,2020-06-16 17:35:46,44.88,15.78,74,1012,69.01,76,0.45
Kamskoye Ustye,RU,2020-06-16 17:35:46,55.2,49.27,56,1017,68.0,28,3.0
Broken Hill,AU,2020-06-16 17:35:46,-31.95,141.43,76,1029,50.0,90,2.1
San Isidro,PE,2020-06-16 17:35:47,-12.12,-77.05,60,1016,69.8,20,3.6
Naze,JP,2020-06-16 17:35:47,28.37,129.48,100,1006,77.0,75,3.1
Souillac,MU,2020-06-16 17:35:47,-20.52,57.52,78,1021,71.6,40,5.1
Sirūr,IN,2020-06-16 17:35:47,18.83,74.38,79,1003,78.26,89,5.49
Airai,TL,2020-06-16 17:35:47,-8.93,125.41,100,1012,57.29,45,2.05
Pevek,RU,2020-06-16 17:35:48,69.7,170.31,69,1009,44.4,28,0.75
Carnarvon,AU,2020-06-16 17:35:48,-24.87,113.63,38,1017,59.0,0,3.1
La Ronge,CA,2020-06-16 17:35:48,55.1,-105.28,55,1007,64.4,75,2.1
Ha Tinh,VN,2020-06-16 17:35:48,18.33,105.9,68,1005,82.87,91,2.88
Sur,OM,2020-06-16 17:35:48,22.57,59.53,57,997,90.41,11,6.12
Brora,GB,2020-06-16 17:35:49,58.01,-3.85,90,1015,64.4,75,3.1
Kampong Thom,KH,2020-06-16 17:35:49,12.71,104.89,90,1009,78.39,100,1.02
Weleri,ID,2020-06-16 17:35:49,-6.97,110.07,79,1011,77.14,0,1.51
Jumla,NP,2020-06-16 17:35:49,29.27,82.18,70,1009,62.65,60,0.36
Vuktyl,RU,2020-06-16 17:35:49,63.86,57.31,87,1009,46.2,100,4.98
Tiznit Province,MA,2020-06-16 17:35:50,29.58,-9.5,34,1018,77.32,25,3.4
Tuatapere,NZ,2020-06-16 17:35:50,-46.13,167.68,85,1012,49.66,65,2.61
Bourail,NC,2020-06-16 17:35:50,-21.57,165.48,82,1018,66.74,0,1.55
Saint Paul Harbor,US,2020-06-16 17:35:50,57.79,-152.41,87,1008,51.8,90,6.2
Santiago,CL,2020-06-16 17:26:40,-33.46,-70.65,66,1014,55.4,90,1.0
Killarney,IE,2020-06-16 17:35:51,52.05,-9.52,87,1016,57.2,75,3.1
Hasaki,JP,2020-06-16 17:35:51,35.73,140.83,82,1003,68.0,20,4.1
Yelan',RU,2020-06-16 17:35:51,50.95,43.74,47,1009,70.0,0,3.6
Amudat,UG,2020-06-16 17:35:51,1.95,34.95,81,1014,69.39,72,1.18
Tikhoretsk,RU,2020-06-16 17:35:51,45.85,40.13,73,1010,73.71,67,1.27
Vredendal,ZA,2020-06-16 17:35:52,-31.67,18.5,31,1028,61.63,0,5.71
Dunedin,NZ,2020-06-16 17:31:12,-45.87,170.5,54,1018,59.0,100,4.92
Panguna,PG,2020-06-16 17:35:52,-6.32,155.48,100,1009,68.52,100,0.32
Sandakan,MY,2020-06-16 17:35:52,5.84,118.12,94,1010,78.8,40,3.6
Yerbogachën,RU,2020-06-16 17:26:14,61.28,108.01,66,1008,47.88,100,1.63
Helong,CN,2020-06-16 17:35:52,42.54,129.0,65,1004,59.67,11,3.31
Sinnamary,GF,2020-06-16 17:35:52,5.38,-52.95,77,1012,82.67,64,4.36
Ancud,CL,2020-06-16 17:35:53,-41.87,-73.82,87,1009,55.99,98,5.1
Leningradskiy,RU,2020-06-16 17:35:53,69.38,178.42,76,1011,47.32,0,2.96
Ola,RU,2020-06-16 17:35:53,59.58,151.28,77,1012,48.45,2,1.58
Lompoc,US,2020-06-16 17:35:53,34.64,-120.46,72,1016,66.0,39,5.7
Homer,US,2020-06-16 17:35:53,59.64,-151.55,50,1012,57.2,90,3.1
Mariehamn,AX,2020-06-16 17:35:53,60.1,19.93,100,1014,57.2,75,3.6
Sortland,NO,2020-06-16 17:35:54,68.69,15.42,62,1021,55.4,9,5.1
Canutama,BR,2020-06-16 17:35:54,-6.53,-64.38,44,1011,91.74,15,1.57
Autazes,BR,2020-06-16 17:35:54,-3.58,-59.13,57,1010,88.84,40,1.15
Acapulco de Juárez,MX,2020-06-16 17:35:54,16.86,-99.89,70,1013,87.8,20,3.6
Makakilo City,US,2020-06-16 17:26:40,21.35,-158.09,88,1019,73.4,1,2.1
Saint-Philippe,RE,2020-06-16 17:35:54,-21.36,55.77,72,1021,68.0,90,4.1
Lázaro Cárdenas,MX,2020-06-16 17:35:55,17.96,-102.2,58,1013,87.85,10,3.41
Coyhaique,CL,2020-06-16 17:35:55,-45.58,-72.07,93,1007,39.2,75,3.6
Kruisfontein,ZA,2020-06-16 17:35:55,-34.0,24.73,92,1033,52.84,0,2.84
Chui,UY,2020-06-16 17:35:55,-33.7,-53.46,77,1019,67.06,19,3.69
Ponta Delgada,PT,2020-06-16 17:35:55,37.73,-25.67,73,1022,69.8,20,7.2
Hobyo,SO,2020-06-16 17:35:56,5.35,48.53,68,1011,81.41,63,11.91
Mandalgovi,MN,2020-06-16 17:35:56,45.76,106.27,53,1002,63.27,85,3.61
Ji’an,CN,2020-06-16 17:35:56,27.12,114.98,75,1004,79.79,0,4.09
Alofi,NU,2020-06-16 17:26:37,-19.06,-169.92,73,1017,69.8,20,5.1
Ferreira do Alentejo,PT,2020-06-16 17:35:56,38.05,-8.03,50,1021,77.0,20,7.7
Morondava,MG,2020-06-16 17:35:57,-20.28,44.28,71,1018,75.72,0,6.27
Puyo,EC,2020-06-16 17:32:09,-1.47,-77.98,83,1020,71.6,75,2.6
Huarmey,PE,2020-06-16 17:26:49,-10.07,-78.15,63,1016,70.3,5,5.64
Isangel,VU,2020-06-16 17:35:57,-19.55,169.27,80,1017,73.31,2,5.59
Douentza,ML,2020-06-16 17:35:57,15.0,-2.95,11,1005,108.41,31,3.29
Marawi,PH,2020-06-16 17:35:57,8.0,124.29,90,1009,78.01,23,0.89
Mayumba,GA,2020-06-16 17:35:58,-3.43,10.66,88,1013,74.3,100,1.58
Cavalcante,BR,2020-06-16 17:35:58,-13.8,-47.46,54,1018,75.47,62,5.23
Aklavik,CA,2020-06-16 17:32:04,68.22,-135.01,45,1009,62.6,90,4.1
Narsaq,GL,2020-06-16 17:35:58,60.92,-46.05,87,1012,42.8,75,0.5
Alice Springs,AU,2020-06-16 17:34:53,-23.7,133.88,47,1026,37.4,0,0.5
Upernavik,GL,2020-06-16 17:35:59,72.79,-56.15,94,1008,32.31,20,3.82
Misilmeri,IT,2020-06-16 17:35:59,38.03,13.45,78,1014,77.0,20,6.2
Juneau,US,2020-06-16 17:31:31,58.3,-134.42,93,1016,53.01,90,2.1
Saldanha,ZA,2020-06-16 17:35:59,-33.01,17.94,45,1027,66.2,0,2.1
Conde,BR,2020-06-16 17:35:59,-7.26,-34.91,78,1014,80.6,40,6.7
Hervey Bay,AU,2020-06-16 17:35:59,-25.3,152.85,93,1022,64.4,63,3.6
Hithadhoo,MV,2020-06-16 17:35:59,-0.6,73.08,76,1010,84.65,0,4.29
Isla Vista,US,2020-06-16 17:36:00,34.41,-119.86,77,1015,64.99,90,2.88
Vao,NC,2020-06-16 17:36:00,-22.67,167.48,81,1019,72.86,21,7.57
Sitka,US,2020-06-16 17:36:00,57.05,-135.33,81,1018,51.8,75,4.6
Quelimane,MZ,2020-06-16 17:36:00,-17.88,36.89,68,1024,71.01,40,2.1
Logan Lake,CA,2020-06-16 17:36:00,50.5,-120.8,62,1015,59.0,75,3.6
Jiwani,PK,2020-06-16 17:36:01,25.05,61.74,85,998,85.42,40,5.06
Snina,SK,2020-06-16 17:32:07,48.99,22.15,86,1008,66.0,56,2.83
Bathsheba,BB,2020-06-16 17:26:49,13.22,-59.52,62,1015,86.0,40,8.7
Touros,BR,2020-06-16 17:36:01,-5.2,-35.46,83,1013,78.8,75,3.6
Changji,CN,2020-06-16 17:36:01,44.02,87.32,24,1006,82.4,100,3.0
Tortolì,IT,2020-06-16 17:36:02,39.93,9.66,28,1012,82.4,20,7.2
Yar-Sale,RU,2020-06-16 17:36:02,66.83,70.83,60,1004,44.02,90,2.5
Chimoré,BO,2020-06-16 17:32:08,-16.98,-65.13,44,1013,86.4,97,2.04
Bereda,ES,2020-06-16 17:36:02,43.27,-7.54,79,1020,62.01,16,4.02
Jalu,LY,2020-06-16 17:36:03,29.03,21.55,32,1012,81.32,0,8.37
Meulaboh,ID,2020-06-16 17:36:03,4.14,96.13,81,1012,78.1,99,1.75
Doka,SD,2020-06-16 17:36:03,13.52,35.77,54,1009,84.92,100,1.97
Neuquén,AR,2020-06-16 17:36:03,-38.95,-68.06,61,1013,46.4,98,1.0
Balaipungut,ID,2020-06-16 17:36:03,1.05,101.28,89,1010,76.59,96,0.85
Adiaké,CI,2020-06-16 17:36:03,5.29,-3.3,83,1011,82.4,40,6.2
Beidao,CN,2020-06-16 17:36:04,34.57,105.89,72,1008,63.55,100,2.92
Riyadh,SA,2020-06-16 17:34:03,24.69,46.72,19,1005,100.4,17,5.07
Mtsamboro,YT,2020-06-16 17:36:04,-12.7,45.07,74,1017,78.8,92,6.2
Ostrovnoy,RU,2020-06-16 17:36:04,68.05,39.51,65,1021,44.08,95,7.95
Brigantine,US,2020-06-16 17:36:04,39.41,-74.36,53,1028,71.6,1,9.3
Saint-Pierre,RE,2020-06-16 17:26:20,-21.34,55.48,72,1021,68.0,90,4.1
Tibati,CM,2020-06-16 17:36:05,6.47,12.63,81,1011,73.29,99,0.83
Mount Isa,AU,2020-06-16 17:36:05,-20.73,139.5,29,1021,62.6,0,5.7
Burns Lake,CA,2020-06-16 17:36:05,54.23,-125.75,40,1014,60.96,35,2.59
Worland,US,2020-06-16 17:36:05,44.02,-107.96,32,1008,73.0,1,2.31
Bonavista,CA,2020-06-16 17:36:05,48.65,-53.11,50,1021,57.87,33,3.99
Zhanakorgan,KZ,2020-06-16 17:36:05,43.91,67.25,33,1010,67.53,0,5.18
Platteville,US,2020-06-16 17:36:06,42.73,-90.48,41,1026,78.01,1,5.1
Ponoka,CA,2020-06-16 17:35:10,52.68,-113.58,51,1012,60.8,40,4.6
Kahului,US,2020-06-16 17:36:06,20.89,-156.47,78,1019,77.0,40,4.6
Okhotsk,RU,2020-06-16 17:36:06,59.38,143.3,83,1014,44.98,2,1.51
Tuy Hoa,VN,2020-06-16 17:26:29,13.08,109.3,85,1010,79.12,100,1.9
Dubăsari,MD,2020-06-16 17:36:07,47.26,29.16,64,1008,73.4,20,1.61
San Borja,BO,2020-06-16 17:36:07,-14.82,-66.85,42,1014,88.65,92,2.16
Grand-Santi,GF,2020-06-16 17:36:07,4.25,-54.38,91,1011,82.83,53,1.78
Bahía Blanca,AR,2020-06-16 17:36:07,-38.72,-62.27,54,1012,58.15,100,0.98
Ayr,GB,2020-06-16 17:36:07,55.46,-4.63,87,1014,60.8,40,2.6
Muyezerskiy,RU,2020-06-16 17:36:08,63.93,31.65,61,1021,55.87,42,3.12
Kavaratti,IN,2020-06-16 17:36:08,10.57,72.64,79,1007,84.87,100,8.61
Bereket,TM,2020-06-16 17:36:08,39.24,55.52,17,1006,92.1,0,2.22
Sumbe,AO,2020-06-16 17:36:08,-11.21,13.84,86,1014,75.2,90,3.1
Manzhouli,CN,2020-06-16 17:36:08,49.6,117.43,53,999,64.09,3,2.3
Sigli,ID,2020-06-16 17:36:08,5.38,95.96,71,1011,80.4,99,1.8
Dikson,RU,2020-06-16 17:36:09,73.51,80.55,95,992,32.25,98,6.24
Iqaluit,CA,2020-06-16 17:36:09,63.75,-68.51,64,1012,39.2,90,3.1
Great Yarmouth,GB,2020-06-16 17:34:47,52.61,1.73,64,1013,71.01,20,4.1
Avaré,BR,2020-06-16 17:34:57,-23.1,-48.93,58,1022,73.4,5,2.89
Sabang,ID,2020-06-16 17:36:09,5.89,95.32,71,1010,84.27,77,3.4
La Palma,US,2020-06-16 17:36:09,33.85,-118.05,72,1015,68.0,90,1.5
Adrar,MR,2020-06-16 17:36:10,20.5,-10.07,10,1010,107.4,0,9.55
Winnemucca,US,2020-06-16 17:36:10,40.97,-117.74,51,1014,62.6,75,4.1
Kumul,CN,2020-06-16 17:36:10,42.8,93.45,16,1002,82.13,0,2.54
Bosaso,SO,2020-06-16 17:36:10,11.28,49.18,45,1005,93.16,75,3.69
College,US,2020-06-16 17:36:10,64.86,-147.8,77,1006,64.0,75,0.18
Wawa,NG,2020-06-16 17:36:10,9.9,4.42,60,1008,88.09,27,1.23
Avera,US,2020-06-16 17:36:11,33.19,-82.53,77,1022,68.0,90,3.1
Kuytun,RU,2020-06-16 17:36:11,54.34,101.5,91,1014,48.54,99,1.78
Pangnirtung,CA,2020-06-16 17:36:11,66.15,-65.71,80,1012,35.6,75,4.6
Olafsvik,IS,2020-06-16 17:36:11,64.89,-23.71,74,1017,47.16,4,4.66
Atambua,ID,2020-06-16 17:36:11,-9.11,124.89,89,1012,71.06,55,2.56
San Cristobal,VE,2020-06-16 17:36:11,7.77,-72.22,52,1015,89.6,20,3.1
Izhma,RU,2020-06-16 17:36:12,65.01,53.91,77,1014,43.66,92,3.61
Vila Franca do Campo,PT,2020-06-16 17:36:12,37.72,-25.43,73,1022,69.8,20,7.2
Antalaha,MG,2020-06-16 17:26:15,-14.9,50.28,84,1020,70.38,57,4.28
Linjiang,CN,2020-06-16 17:36:12,41.81,126.91,82,1006,54.05,0,0.71
Tondano,ID,2020-06-16 17:36:12,1.3,124.91,94,1010,75.2,20,1.0
Ust-Maya,RU,2020-06-16 17:36:12,60.42,134.53,77,1012,50.07,0,0.76
